"","wipo_field","year","freq"
"650","Materials, metallurgy","1998",95
"651","Measurement","1998",303
"652","Mechanical elements","1998",40
"653","Medical technology","1998",87
"654","Micro-structural and nano-technology","1998",9
"655","Optics","1998",160
"656","Organic fine chemistry","1998",177
"657","Other consumer goods","1998",12
"658","Other special machines","1998",77
"659","Pharmaceuticals","1998",172
"660","Semiconductors","1998",134
"661","Surface technology, coating","1998",68
"662","Telecommunications","1998",64
"663","Textile and paper machines","1998",12
"664","Thermal processes and apparatus","1998",25
"665","Transport","1998",61
"666","Analysis of biological materials","1999",125
"667","Audio-visual technology","1999",50
"668","Basic communication processes","1999",31
"669","Basic materials chemistry ","1999",53
"670","Biotechnology","1999",840
"671","Chemical engineering","1999",84
"672","Civil engineering","1999",21
"673","Computer technology","1999",126
"674","Control","1999",13
"675","Digital communication","1999",18
"676","Electrical machinery, apparatus, energy","1999",219
"677","Engines, pumps, turbines","1999",72
"678","Environmental technology","1999",62
"679","Food chemistry","1999",11
"680","Furniture, games","1999",3
"681","Handling","1999",10
"682","IT methods for management","1999",4
"683","Machine tools","1999",28
"684","Macromolecular chemistry, polymers","1999",44
"685","Materials, metallurgy","1999",95
"686","Measurement","1999",287
"687","Mechanical elements","1999",56
"688","Medical technology","1999",73
"689","Micro-structural and nano-technology","1999",14
"690","Optics","1999",156
"691","Organic fine chemistry","1999",138
"692","Other consumer goods","1999",15
"693","Other special machines","1999",75
"694","Pharmaceuticals","1999",207
"695","Semiconductors","1999",157
"696","Surface technology, coating","1999",66
"697","Telecommunications","1999",62
"698","Textile and paper machines","1999",12
"699","Thermal processes and apparatus","1999",15
"700","Transport","1999",63
"701","Analysis of biological materials","2000",104
"702","Audio-visual technology","2000",46
"703","Basic communication processes","2000",18
"704","Basic materials chemistry ","2000",43
"705","Biotechnology","2000",754
"706","Chemical engineering","2000",76
"707","Civil engineering","2000",9
"708","Computer technology","2000",99
"709","Control","2000",21
"710","Digital communication","2000",27
"711","Electrical machinery, apparatus, energy","2000",214
"712","Engines, pumps, turbines","2000",83
"713","Environmental technology","2000",64
"714","Food chemistry","2000",14
"715","Furniture, games","2000",2
"716","Handling","2000",13
"717","IT methods for management","2000",4
"718","Machine tools","2000",27
"719","Macromolecular chemistry, polymers","2000",38
"720","Materials, metallurgy","2000",96
"721","Measurement","2000",296
"722","Mechanical elements","2000",43
"723","Medical technology","2000",94
"724","Micro-structural and nano-technology","2000",19
"725","Optics","2000",183
"726","Organic fine chemistry","2000",153
"727","Other consumer goods","2000",9
"728","Other special machines","2000",87
"729","Pharmaceuticals","2000",188
"730","Semiconductors","2000",147
"731","Surface technology, coating","2000",80
"732","Telecommunications","2000",68
"733","Textile and paper machines","2000",7
"734","Thermal processes and apparatus","2000",16
"735","Transport","2000",68
"736","Analysis of biological materials","2001",155
"737","Audio-visual technology","2001",56
"738","Basic communication processes","2001",31
"739","Basic materials chemistry ","2001",61
"740","Biotechnology","2001",743
"741","Chemical engineering","2001",80
"742","Civil engineering","2001",18
"743","Computer technology","2001",115
"744","Control","2001",32
"745","Digital communication","2001",32
"746","Electrical machinery, apparatus, energy","2001",216
"747","Engines, pumps, turbines","2001",93
"748","Environmental technology","2001",60
"749","Food chemistry","2001",12
"750","Furniture, games","2001",0
"751","Handling","2001",16
"752","IT methods for management","2001",5
"753","Machine tools","2001",42
"754","Macromolecular chemistry, polymers","2001",51
"755","Materials, metallurgy","2001",105
"756","Measurement","2001",310
"757","Mechanical elements","2001",46
"758","Medical technology","2001",102
"759","Micro-structural and nano-technology","2001",23
"760","Optics","2001",182
"761","Organic fine chemistry","2001",151
"762","Other consumer goods","2001",11
"763","Other special machines","2001",81
"764","Pharmaceuticals","2001",201
"765","Semiconductors","2001",178
"766","Surface technology, coating","2001",82
"767","Telecommunications","2001",63
"768","Textile and paper machines","2001",8
"769","Thermal processes and apparatus","2001",17
"770","Transport","2001",86
"771","Analysis of biological materials","2002",132
"772","Audio-visual technology","2002",46
"773","Basic communication processes","2002",30
"774","Basic materials chemistry ","2002",49
"775","Biotechnology","2002",700
"776","Chemical engineering","2002",71
"777","Civil engineering","2002",19
"778","Computer technology","2002",113
"779","Control","2002",21
"780","Digital communication","2002",27
"781","Electrical machinery, apparatus, energy","2002",224
"782","Engines, pumps, turbines","2002",145
"783","Environmental technology","2002",58
"784","Food chemistry","2002",8
"785","Furniture, games","2002",6
"786","Handling","2002",10
"787","IT methods for management","2002",4
"788","Machine tools","2002",43
"789","Macromolecular chemistry, polymers","2002",52
"790","Materials, metallurgy","2002",111
"791","Measurement","2002",373
"792","Mechanical elements","2002",54
"793","Medical technology","2002",124
"794","Micro-structural and nano-technology","2002",27
"795","Optics","2002",193
"796","Organic fine chemistry","2002",172
"797","Other consumer goods","2002",6
"798","Other special machines","2002",108
"799","Pharmaceuticals","2002",223
"800","Semiconductors","2002",164
"801","Surface technology, coating","2002",93
"802","Telecommunications","2002",68
"803","Textile and paper machines","2002",13
"804","Thermal processes and apparatus","2002",21
"805","Transport","2002",70
"806","Analysis of biological materials","2003",138
"807","Audio-visual technology","2003",43
"808","Basic communication processes","2003",31
"809","Basic materials chemistry ","2003",69
"810","Biotechnology","2003",616
"811","Chemical engineering","2003",91
"812","Civil engineering","2003",20
"813","Computer technology","2003",117
"814","Control","2003",30
"815","Digital communication","2003",25
"816","Electrical machinery, apparatus, energy","2003",223
"817","Engines, pumps, turbines","2003",86
"818","Environmental technology","2003",56
"819","Food chemistry","2003",9
"820","Furniture, games","2003",6
"821","Handling","2003",14
"822","IT methods for management","2003",12
"823","Machine tools","2003",39
"824","Macromolecular chemistry, polymers","2003",49
"825","Materials, metallurgy","2003",97
"826","Measurement","2003",380
"827","Mechanical elements","2003",33
"828","Medical technology","2003",129
"829","Micro-structural and nano-technology","2003",29
"830","Optics","2003",209
"831","Organic fine chemistry","2003",180
"832","Other consumer goods","2003",7
"833","Other special machines","2003",91
"834","Pharmaceuticals","2003",179
"835","Semiconductors","2003",168
"836","Surface technology, coating","2003",86
"837","Telecommunications","2003",53
"838","Textile and paper machines","2003",11
"839","Thermal processes and apparatus","2003",19
"840","Transport","2003",72
"841","Analysis of biological materials","2004",138
"842","Audio-visual technology","2004",37
"843","Basic communication processes","2004",31
"844","Basic materials chemistry ","2004",50
"845","Biotechnology","2004",577
"846","Chemical engineering","2004",122
"847","Civil engineering","2004",19
"848","Computer technology","2004",159
"849","Control","2004",29
"850","Digital communication","2004",58
"851","Electrical machinery, apparatus, energy","2004",213
"852","Engines, pumps, turbines","2004",77
"853","Environmental technology","2004",60
"854","Food chemistry","2004",9
"855","Furniture, games","2004",6
"856","Handling","2004",9
"857","IT methods for management","2004",5
"858","Machine tools","2004",33
"859","Macromolecular chemistry, polymers","2004",37
"860","Materials, metallurgy","2004",94
"861","Measurement","2004",343
"862","Mechanical elements","2004",35
"863","Medical technology","2004",108
